customer_id,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction,E,T,period_total_amount,period_transaction_count,period_tenure_days,is_churn_30_days
C00010,8.0,4.0,300.14,53.0,57.0,2.0,177.5,4.0,61.0,1.0,161.78,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,92,300.14,4,53,0
C00011,0.0,12.0,691.24,93.0,46.0,9.0,545.1,47.0,61.0,6.0,413.66,32.0,90.0,2.0,75.96,3.0,48.99999999999998,,-2.0,0.9999999999999998,2.9999999999999996,13.48,37.98,13.48,62.48,13.97,15.93,18.380000000000003,23.28,28.18,33.08,37.98,42.879999999999995,47.779999999999994,52.68,57.58,60.029999999999994,61.989999999999995,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,3.0,1.02,1.1,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,2.9,2.98,0.0,0.5,0.0,1.0,0.01,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95,0.99,0.0,1.5,0.0,3.0,0.03,0.15000000000000002,0.30000000000000004,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,2.0999999999999996,2.4000000000000004,2.7,2.8499999999999996,2.9699999999999998,0,128,691.24,12,93,0
C00012,4.0,20.0,1716.3,138.0,35.0,17.0,1327.19,107.0,65.0,9.0,738.84,77.0,93.0,7.0,632.8299999999999,49.0,7.5192857142857115,0.5428571428571434,1.1785714285714284,1.0000000000000002,8.535714285714286,44.15,90.4042857142857,44.15,166.23,45.2786,49.793,55.436,65.38000000000001,72.64,80.512,88.69,92.56,96.232,99.508,126.85200000000002,146.54099999999994,162.29219999999995,2.0,8.166666666666666,11.0,14.0,2.05,2.25,2.5,3.0,5.5,8.0,9.5,11.0,11.0,11.0,12.5,13.25,13.850000000000001,2.0,9.285714285714286,11.0,16.0,2.06,2.3,2.6,4.000000000000001,6.999999999999999,9.200000000000001,11.0,11.0,11.599999999999998,13.400000000000002,14.8,15.399999999999999,15.879999999999999,0.0,3.0,0.0,6.0,0.06,0.30000000000000004,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3.0,3.5999999999999996,4.199999999999999,4.800000000000001,5.4,5.699999999999999,5.9399999999999995,0.0,23.142857142857142,0.0,49.0,0.18,0.9000000000000001,1.8000000000000003,5.200000000000002,11.799999999999997,17.200000000000003,22.0,30.399999999999995,36.4,37.6,42.400000000000006,45.69999999999999,48.339999999999996,0,180,1716.3,20,138,0
C00013,0.0,23.0,673.39,117.0,35.0,18.0,489.7,82.0,62.0,11.0,273.14,55.0,94.0,5.0,108.36,23.0,2.896,-1.0999999999999979,-0.5000000000000001,1.0,6.7,6.92,21.672,6.92,36.06,7.1624,8.132,9.344000000000001,11.768,13.940000000000001,15.860000000000001,17.78,24.516,31.251999999999995,34.908,35.484,35.772,36.0024,1.0,5.75,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.8000000000000007,3.0,4.199999999999999,6.099999999999996,9.400000000000004,12.700000000000003,14.349999999999996,15.669999999999998,1.0,5.8,1.0,16.0,1.0,1.0,1.0,1.0,1.7999999999999998,3.4000000000000004,5.0,5.4,5.8,8.000000000000002,12.0,13.999999999999998,15.6,0.0,2.0,0.0,4.0,0.04,0.2,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,3.8,3.96,0.0,12.6,0.0,23.0,0.04,0.2,0.4,0.8,4.199999999999999,10.600000000000001,17.0,19.0,21.0,22.2,22.6,22.8,22.96,0,159,673.39,23,117,0
C00014,128.0,5.0,134.55,10.0,128.0,5.0,134.55,10.0,128.0,5.0,134.55,10.0,128.0,5.0,134.55,10.0,-0.20800000000000346,1.4,1.3999999999999997,1.0,2.1,11.93,26.909999999999997,11.93,38.76,12.1676,13.118,14.306000000000001,16.682000000000002,20.128,24.644000000000002,29.16,32.228,35.296,37.216,37.988,38.373999999999995,38.6828,0.0,2.5,0.0,7.0,0.03,0.15000000000000002,0.30000000000000004,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,2.4999999999999982,4.000000000000002,5.500000000000001,6.249999999999998,6.849999999999999,0.0,2.5,0.0,7.0,0.03,0.15000000000000002,0.30000000000000004,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,2.4999999999999982,4.000000000000002,5.500000000000001,6.249999999999998,6.849999999999999,0.0,2.0,0.0,4.0,0.04,0.2,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,3.8,3.96,0.0,3.6,3.0,10.0,0.08,0.4,0.8,1.6,2.2,2.6,3.0,3.0,3.0,4.400000000000001,7.200000000000001,8.599999999999998,9.719999999999999,1,30,134.55,5,10,1
C00015,156.0,4.0,60.480000000000004,137.0,156.0,4.0,60.480000000000004,137.0,156.0,4.0,60.480000000000004,137.0,156.0,4.0,60.480000000000004,137.0,-4.0680000000000005,60.000000000000014,60.00000000000002,1.0,42.4,7.14,15.120000000000001,7.14,29.8,7.1472,7.176,7.212,7.284,7.356,9.136000000000001,11.77,14.403999999999998,17.523999999999994,21.616000000000007,25.708000000000002,27.753999999999994,29.3908,2.0,45.666666666666664,2.0,122.0,2.22,3.1,4.2,6.4,8.6,10.8,13.0,34.8,56.59999999999999,78.4,100.2,111.1,119.82,2.0,45.666666666666664,2.0,122.0,2.22,3.1,4.2,6.4,8.6,10.8,13.0,34.8,56.59999999999999,78.4,100.2,111.1,119.82,0.0,1.5,0.0,3.0,0.03,0.15000000000000002,0.30000000000000004,0.6000000000000001,0.8999999999999999,1.2000000000000002,1.5,1.7999999999999998,2.0999999999999996,2.4000000000000004,2.7,2.8499999999999996,2.9699999999999998,0.0,38.5,0.0,137.0,0.06,0.30000000000000004,0.6000000000000001,1.2000000000000002,1.7999999999999998,4.600000000000002,8.5,12.399999999999999,27.199999999999957,63.80000000000004,100.40000000000002,118.69999999999996,133.33999999999997,1,181,60.480000000000004,4,137,1
C00016,229.0,8.0,280.15,23.0,229.0,8.0,280.15,23.0,229.0,8.0,280.15,23.0,229.0,8.0,280.15,23.0,-4.144404761904763,-0.2857142857142854,-0.2857142857142858,0.9999999999999999,3.428571428571428,8.31,35.01875,8.31,61.69,8.4178,8.849,9.388,17.934000000000005,30.642,34.716,37.85,40.558,43.141,48.022000000000006,54.228,57.958999999999996,60.943799999999996,0.0,3.2857142857142856,1.0,10.0,0.06,0.30000000000000004,0.6000000000000001,1.0,1.0,1.4000000000000004,2.0,2.5999999999999996,3.599999999999998,5.400000000000002,7.600000000000001,8.799999999999997,9.759999999999998,0.0,3.2857142857142856,1.0,10.0,0.06,0.30000000000000004,0.6000000000000001,1.0,1.0,1.4000000000000004,2.0,2.5999999999999996,3.599999999999998,5.400000000000002,7.600000000000001,8.799999999999997,9.759999999999998,0.0,3.5,0.0,7.0,0.07,0.35000000000000003,0.7000000000000001,1.4000000000000001,2.1,2.8000000000000003,3.5,4.2,4.8999999999999995,5.6000000000000005,6.3,6.6499999999999995,6.93,0.0,12.5,6.0,23.0,0.42000000000000004,2.1,4.2,6.0,6.1,6.800000000000001,12.0,17.6,19.7,20.6,21.6,22.299999999999997,22.86,1,30,280.15,8,23,1
C00017,233.0,8.0,737.92,45.0,233.0,8.0,737.92,45.0,233.0,8.0,737.92,45.0,233.0,8.0,737.92,45.0,-2.2638095238095337,0.8571428571428573,0.8571428571428571,0.9999999999999999,6.6428571428571415,31.69,92.24,31.69,174.28,32.8478,37.479,43.268,51.358,57.269999999999996,65.81,70.785,84.914,125.49299999999997,145.40200000000002,160.651,167.4655,172.9171,1.0,6.428571428571429,5.0,22.0,1.06,1.3,1.6,2.2,2.8,3.8000000000000007,5.0,5.0,5.399999999999999,6.600000000000001,13.000000000000005,17.49999999999999,21.099999999999994,1.0,6.428571428571429,5.0,22.0,1.06,1.3,1.6,2.2,2.8,3.8000000000000007,5.0,5.0,5.399999999999999,6.600000000000001,13.000000000000005,17.49999999999999,21.099999999999994,0.0,3.5,0.0,7.0,0.07,0.35000000000000003,0.7000000000000001,1.4000000000000001,2.1,2.8000000000000003,3.5,4.2,4.8999999999999995,5.6000000000000005,6.3,6.6499999999999995,6.93,0.0,19.5,0.0,45.0,0.21000000000000002,1.05,2.1,5.800000000000001,10.5,14.000000000000002,16.0,18.0,21.499999999999996,35.20000000000001,44.3,44.65,44.93,1,80,737.92,8,45,1
C00019,108.0,28.0,1302.07,152.0,108.0,28.0,1302.07,152.0,108.0,28.0,1302.07,152.0,108.0,28.0,1302.07,152.0,-1.1255637657361786,-0.1471306471306472,-0.14713064713064716,0.9999999999999998,5.913793103448275,4.71,46.5025,4.71,348.77,5.2878,6.92,10.123000000000001,16.428,22.746,28.966,34.44499999999999,39.854,45.729,52.966,70.23400000000001,81.20349999999999,276.6584000000001,0.0,5.62962962962963,1.0,22.0,0.0,0.30000000000000004,1.0,1.0,2.0,2.4000000000000004,3.0,5.0,8.0,8.8,13.400000000000002,16.099999999999998,20.699999999999992,0.0,5.62962962962963,1.0,22.0,0.0,0.30000000000000004,1.0,1.0,2.0,2.4000000000000004,3.0,5.0,8.0,8.8,13.400000000000002,16.099999999999998,20.699999999999992,0.0,13.5,0.0,27.0,0.27,1.35,2.7,5.4,8.1,10.8,13.5,16.2,18.9,21.6,24.3,25.65,26.73,0.0,84.60714285714286,35.0,152.0,0.81,4.050000000000001,8.8,33.8,52.8,69.4,102.0,121.2,123.9,126.6,137.5,141.65,149.3,1,170,1302.07,28,152,1
C00020,8.0,15.0,110.31,144.0,35.0,12.0,94.89999999999999,117.0,76.0,7.0,44.23,76.0,92.0,6.0,39.28,60.0,-0.32571428571428546,-0.10000000000000196,0.5142857142857146,0.9999999999999998,13.171428571428569,0.59,6.546666666666667,0.59,15.28,0.6675,0.9775,1.365,2.14,3.455,4.77,5.615,6.46,8.25,10.04,12.66,13.969999999999999,15.018,2.0,12.0,2.0,25.0,2.2800000000000002,3.4000000000000004,4.800000000000001,7.6000000000000005,9.2,9.6,10.0,11.6,13.2,16.200000000000003,20.6,22.799999999999997,24.56,2.0,12.666666666666666,2.0,25.0,2.35,3.75,5.5,9.0,9.5,10.0,12.0,14.0,15.0,16.0,20.5,22.75,24.55,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,30.166666666666668,0.0,60.0,0.1,0.5,1.0,2.0,14.5,27.0,34.0,41.0,46.0,51.0,55.5,57.75,59.550000000000004,0,189,110.31,15,144,0
C00021,277.0,7.0,782.5500000000001,32.0,277.0,7.0,782.5500000000001,32.0,277.0,7.0,782.5500000000001,32.0,277.0,7.0,782.5500000000001,32.0,9.29,0.22857142857142815,0.22857142857142848,1.0000000000000002,5.0357142857142865,67.33,111.79285714285713,67.33,271.23,67.8922,70.141,72.952,77.318,79.17200000000001,83.15400000000001,88.2,90.066,94.64599999999999,104.65400000000001,173.28600000000006,222.2579999999999,261.4355999999999,1.0,5.333333333333333,4.0,10.0,1.15,1.75,2.5,4.0,4.0,4.0,4.5,5.0,6.5,8.0,9.0,9.5,9.9,1.0,5.333333333333333,4.0,10.0,1.15,1.75,2.5,4.0,4.0,4.0,4.5,5.0,6.5,8.0,9.0,9.5,9.9,0.0,3.0,0.0,6.0,0.06,0.30000000000000004,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3.0,3.5999999999999996,4.199999999999999,4.800000000000001,5.4,5.699999999999999,5.9399999999999995,0.0,15.428571428571429,0.0,32.0,0.24,1.2000000000000002,2.4000000000000004,5.600000000000001,10.399999999999999,14.000000000000002,17.0,19.4,21.2,21.8,26.000000000000004,28.999999999999993,31.399999999999995,1,44,782.5500000000001,7,32,1
C00022,12.0,1.0,1.34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1.34,1,0,0
C00023,154.0,7.0,570.23,75.0,154.0,7.0,570.23,75.0,154.0,7.0,570.23,75.0,154.0,7.0,570.23,75.0,9.62392857142857,-4.428571428571431,-4.428571428571426,1.0000000000000002,11.928571428571429,24.2,81.46142857142857,24.2,229.02,24.8132,27.266000000000002,30.332,35.288000000000004,37.891999999999996,48.50000000000001,63.11,74.276,85.17599999999999,95.54400000000001,151.00800000000004,190.01399999999992,221.21879999999993,0.0,12.5,0.0,34.0,0.1,0.5,1.0,2.0,3.0,4.0,10.5,17.0,17.5,18.0,26.0,30.0,33.2,0.0,12.5,0.0,34.0,0.1,0.5,1.0,2.0,3.0,4.0,10.5,17.0,17.5,18.0,26.0,30.0,33.2,0.0,3.0,0.0,6.0,0.06,0.30000000000000004,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3.0,3.5999999999999996,4.199999999999999,4.800000000000001,5.4,5.699999999999999,5.9399999999999995,0.0,48.57142857142857,71.0,75.0,2.04,10.200000000000001,20.400000000000002,34.4,35.6,42.800000000000004,53.0,63.8,71.0,71.0,72.6,73.8,74.75999999999999,1,129,570.23,7,75,1
C00024,180.0,5.0,354.43,49.0,180.0,5.0,354.43,49.0,180.0,5.0,354.43,49.0,180.0,5.0,354.43,49.0,31.83899999999999,0.8999999999999999,0.9000000000000011,1.0,12.8,11.53,70.886,11.53,155.7,12.1472,14.616,17.701999999999998,23.874000000000002,31.016,39.128,47.24,73.544,99.84799999999998,121.54,138.62,147.16,153.992,8.0,12.25,15.0,15.0,8.09,8.45,8.9,9.8,10.7,11.8,13.0,14.2,15.0,15.0,15.0,15.0,15.0,8.0,12.25,15.0,15.0,8.09,8.45,8.9,9.8,10.7,11.8,13.0,14.2,15.0,15.0,15.0,15.0,15.0,0.0,2.0,0.0,4.0,0.04,0.2,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,3.8,3.96,0.0,23.6,0.0,49.0,0.32,1.6,3.2,6.4,11.0,17.0,23.0,29.0,35.0,40.2,44.6,46.8,48.56,1,107,354.43,5,49,1
C00025,5.0,2.0,129.72,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,129.72,2,19,1
C00026,9.0,7.0,623.9300000000001,36.0,40.0,2.0,253.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,87,623.9300000000001,7,36,0
