customer_id,signup_date,true_lifetime_days,termination_date,rfm_recency_all_time,rfm_frequency_all_time,rfm_monetary_all_time,tenure_all_time,rfm_recency_30d,rfm_frequency_30d,rfm_monetary_30d,tenure_30d,rfm_recency_60d,rfm_frequency_60d,rfm_monetary_60d,tenure_60d,rfm_recency_90d,rfm_frequency_90d,rfm_monetary_90d,tenure_90d,slope_amount,slope_days_since_previous_transaction,slope_days_until_next_transaction,slope_customer_transaction_order,slope_days_since_first_transaction,min_amount,mean_amount,mode_amount,max_amount,q1_amount,q5_amount,q10_amount,q20_amount,q30_amount,q40_amount,q50_amount,q60_amount,q70_amount,q80_amount,q90_amount,q95_amount,q99_amount,min_days_since_previous_transaction,mean_days_since_previous_transaction,mode_days_since_previous_transaction,max_days_since_previous_transaction,q1_days_since_previous_transaction,q5_days_since_previous_transaction,q10_days_since_previous_transaction,q20_days_since_previous_transaction,q30_days_since_previous_transaction,q40_days_since_previous_transaction,q50_days_since_previous_transaction,q60_days_since_previous_transaction,q70_days_since_previous_transaction,q80_days_since_previous_transaction,q90_days_since_previous_transaction,q95_days_since_previous_transaction,q99_days_since_previous_transaction,min_days_until_next_transaction,mean_days_until_next_transaction,mode_days_until_next_transaction,max_days_until_next_transaction,q1_days_until_next_transaction,q5_days_until_next_transaction,q10_days_until_next_transaction,q20_days_until_next_transaction,q30_days_until_next_transaction,q40_days_until_next_transaction,q50_days_until_next_transaction,q60_days_until_next_transaction,q70_days_until_next_transaction,q80_days_until_next_transaction,q90_days_until_next_transaction,q95_days_until_next_transaction,q99_days_until_next_transaction,min_customer_transaction_order,mean_customer_transaction_order,mode_customer_transaction_order,max_customer_transaction_order,q1_customer_transaction_order,q5_customer_transaction_order,q10_customer_transaction_order,q20_customer_transaction_order,q30_customer_transaction_order,q40_customer_transaction_order,q50_customer_transaction_order,q60_customer_transaction_order,q70_customer_transaction_order,q80_customer_transaction_order,q90_customer_transaction_order,q95_customer_transaction_order,q99_customer_transaction_order,min_days_since_first_transaction,mean_days_since_first_transaction,mode_days_since_first_transaction,max_days_since_first_transaction,q1_days_since_first_transaction,q5_days_since_first_transaction,q10_days_since_first_transaction,q20_days_since_first_transaction,q30_days_since_first_transaction,q40_days_since_first_transaction,q50_days_since_first_transaction,q60_days_since_first_transaction,q70_days_since_first_transaction,q80_days_since_first_transaction,q90_days_since_first_transaction,q95_days_since_first_transaction,q99_days_since_first_transaction
C01061,2025-03-11,255,2025-11-21,14.0,7.0,568.78,182.0,42.0,6.0,538.6800000000001,154.0,114.0,5.0,407.37,82.0,114.0,5.0,407.37,82.0,-22.168000000000013,1.6000000000000012,11.100000000000001,1.0,19.700000000000006,23.36,81.474,23.36,132.44,24.2212,27.666,31.972,40.584,55.925999999999995,77.998,100.07,102.68599999999999,105.30199999999999,111.77600000000001,122.108,127.274,131.4068,5.0,20.5,5.0,31.0,5.39,6.95,8.9,12.8,16.7,20.0,23.0,26.0,28.299999999999997,29.200000000000003,30.1,30.549999999999997,30.91,5.0,30.8,5.0,72.0,5.52,7.6,10.2,15.4,20.0,24.0,28.0,29.2,30.4,39.2,55.60000000000001,63.8,70.36,0.0,2.0,0.0,4.0,0.04,0.2,0.4,0.8,1.2,1.6,2.0,2.4,2.8,3.2,3.6,3.8,3.96,0.0,39.4,0.0,82.0,0.72,3.6,7.2,14.4,23.599999999999998,34.800000000000004,46.0,48.0,50.0,57.2,69.60000000000001,75.8,80.76
C00325,2025-10-06,365,2026-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00342,2025-11-07,119,2026-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02356,2025-03-17,202,2025-10-05,3.0,26.0,4210.19,183.0,44.0,22.0,3498.84,142.0,68.0,19.0,2903.68,118.0,92.0,17.0,2479.19,94.0,-0.3780882352941138,0.48823529411764705,0.46813725490196073,0.9999999999999998,5.428921568627451,28.55,145.83470588235295,28.55,295.92,28.9772,30.686,37.538,52.894000000000005,70.806,86.0,123.95,178.60399999999998,216.55399999999997,242.69000000000003,285.42,292.872,295.3104,0.0,5.875,2.0,21.0,0.3,1.5,2.0,2.0,2.5,4.0,4.5,6.0,6.5,8.0,11.0,14.25,19.65,0.0,6.0588235294117645,2.0,21.0,0.32,1.6,2.0,2.0,2.8,4.0,5.0,6.0,7.199999999999999,8.8,10.8,13.799999999999994,19.56,0.0,8.0,0.0,16.0,0.16,0.8,1.6,3.2,4.8,6.4,8.0,9.6,11.2,12.8,14.4,15.2,15.84,0.0,37.23529411764706,30.0,94.0,0.32,1.6,6.200000000000001,11.4,14.6,27.0,30.0,44.4,53.599999999999994,63.2,69.4,77.19999999999999,90.64
C02266,2025-07-01,184,2026-01-01,55.0,3.0,48.44,36.0,55.0,3.0,48.44,36.0,79.0,2.0,39.67,12.0,91.0,1.0,20.71,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00782,2025-09-21,193,2026-04-02,1.0,1.0,47.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02367,2025-01-08,83,2025-04-01,196.0,1.0,18.21,0.0,196.0,1.0,18.21,0.0,196.0,1.0,18.21,0.0,196.0,1.0,18.21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00299,2025-11-16,77,2026-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01461,2025-01-14,188,2025-07-21,86.0,26.0,782.35,170.0,86.0,26.0,782.35,170.0,86.0,26.0,782.35,170.0,90.0,24.0,718.74,166.0,-0.24893913043478336,-0.24604743083003924,-0.24869565217391323,1.0000000000000002,7.6317391304347835,5.85,29.9475,5.85,110.07,6.0248,7.207000000000001,10.656,16.250000000000004,19.877,21.076,23.115000000000002,26.102,34.562000000000005,42.908,49.498999999999995,57.00249999999998,98.13529999999997,1.0,7.217391304347826,1.0,28.0,1.0,1.0,1.0,1.4000000000000004,2.5999999999999996,3.0,5.0,7.399999999999999,9.0,11.200000000000003,13.600000000000001,22.099999999999987,26.900000000000006,1.0,7.083333333333333,1.0,28.0,1.0,1.0,1.0,1.6000000000000005,2.8999999999999995,3.200000000000001,4.5,6.799999999999999,9.0,10.800000000000004,13.399999999999999,21.64999999999998,26.849999999999998,0.0,11.5,0.0,23.0,0.23,1.1500000000000001,2.3000000000000003,4.6000000000000005,6.8999999999999995,9.200000000000001,11.5,13.799999999999999,16.099999999999998,18.400000000000002,20.7,21.849999999999998,22.77,0.0,93.375,0.0,166.0,2.7600000000000002,13.500000000000002,22.3,29.000000000000004,57.19999999999999,92.4,109.0,113.39999999999999,135.6,150.4,156.8,158.85,164.39
C02373,2025-06-17,50,2025-08-06,78.0,3.0,19.76,6.0,78.0,3.0,19.76,6.0,78.0,3.0,19.76,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00303,2025-10-18,105,2026-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01237,2025-09-07,249,2026-05-14,14.0,2.0,85.66999999999999,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02571,2025-08-07,42,2025-09-18,20.0,5.0,260.45000000000005,22.0,34.0,4.0,177.58,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01656,2025-08-23,114,2025-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00664,2025-06-09,30,2025-07-09,95.0,1.0,117.59,0.0,95.0,1.0,117.59,0.0,95.0,1.0,117.59,0.0,95.0,1.0,117.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01690,2025-08-02,54,2025-09-25,31.0,2.0,68.1,1.0,31.0,2.0,68.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00220,2025-03-26,30,2025-04-25,172.0,1.0,53.14,0.0,172.0,1.0,53.14,0.0,172.0,1.0,53.14,0.0,172.0,1.0,53.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01626,2025-11-09,119,2026-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01188,2025-04-13,248,2025-12-17,135.0,3.0,313.53,7.0,135.0,3.0,313.53,7.0,135.0,3.0,313.53,7.0,135.0,3.0,313.53,7.0,-57.61499999999998,4.999999999999997,82.50000000000001,1.0000000000000002,3.500000000000001,62.91,104.50999999999999,62.91,178.14,63.1014,63.867,64.824,66.738,68.652,70.566,72.48,93.612,114.74399999999999,135.876,157.00799999999998,167.57399999999998,176.02679999999998,1.0,3.5,1.0,6.0,1.05,1.25,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,5.75,5.95,1.0,57.666666666666664,1.0,166.0,1.1,1.5,2.0,3.0,4.0,5.0,6.0,37.99999999999999,69.99999999999999,102.00000000000001,134.0,150.0,162.8,0.0,1.0,0.0,2.0,0.02,0.1,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,1.9,1.98,0.0,2.6666666666666665,0.0,7.0,0.02,0.1,0.2,0.4,0.6,0.8,1.0,2.1999999999999997,3.3999999999999995,4.6000000000000005,5.800000000000001,6.3999999999999995,6.88
C01455,2025-09-05,57,2025-11-01,0.0,6.0,626.8,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00449,2025-08-29,179,2026-02-24,11.0,2.0,67.91,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02002,2025-09-23,60,2025-11-22,7.0,2.0,61.230000000000004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02616,2025-10-20,332,2026-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00084,2025-09-29,30,2025-10-29,0.0,1.0,66.59,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00941,2025-09-18,99,2025-12-26,12.0,1.0,286.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00961,2025-09-05,267,2026-05-30,5.0,10.0,403.38,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C00841,2025-08-16,125,2025-12-19,12.0,2.0,114.22,22.0,34.0,1.0,91.69,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01326,2025-11-08,68,2026-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C02378,2025-03-12,104,2025-06-24,105.0,6.0,300.51,71.0,105.0,6.0,300.51,71.0,105.0,6.0,300.51,71.0,105.0,6.0,300.51,71.0,7.051714285714283,0.19999999999999904,0.19999999999999793,0.9999999999999998,14.714285714285714,14.51,50.085,14.51,100.9,14.8825,16.3725,18.235,21.96,25.96,29.96,44.754999999999995,59.55,66.59,73.63,87.265,94.08250000000001,99.5365,0.0,14.2,0.0,40.0,0.0,0.0,0.0,0.0,2.999999999999999,9.000000000000002,15.0,15.4,15.8,20.800000000000004,30.400000000000002,35.199999999999996,39.04,0.0,14.2,0.0,40.0,0.0,0.0,0.0,0.0,2.999999999999999,9.000000000000002,15.0,15.4,15.8,20.800000000000004,30.400000000000002,35.199999999999996,39.04,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,35.166666666666664,15.0,71.0,0.75,3.75,7.5,15.0,15.0,15.0,35.0,55.0,55.0,55.0,63.0,67.0,70.2
C02430,2025-03-20,365,2026-03-20,62.0,1.0,38.76,0.0,62.0,1.0,38.76,0.0,62.0,1.0,38.76,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01373,2025-06-16,344,2026-05-26,1.0,22.0,692.65,106.0,31.0,16.0,408.58,76.0,79.0,12.0,339.49,28.0,91.0,6.0,118.17,16.0,-8.541428571428572,0.6999999999999997,0.5142857142857143,0.9999999999999998,2.999999999999999,1.32,19.694999999999997,1.32,42.31,1.7000000000000002,3.2199999999999998,5.12,8.92,8.96,9.0,14.525,20.05,28.310000000000002,36.57,39.44,40.875,42.023,0.0,3.2,0.0,7.0,0.08,0.4,0.8,1.6,2.2,2.6,3.0,3.4,3.8,4.6000000000000005,5.800000000000001,6.3999999999999995,6.88,0.0,3.3333333333333335,4.0,7.0,0.1,0.5,1.0,2.0,2.5,3.0,3.5,4.0,4.0,4.0,5.5,6.25,6.8500000000000005,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,6.833333333333333,9.0,16.0,0.1,0.5,1.0,2.0,3.5,5.0,7.0,9.0,9.0,9.0,12.5,14.25,15.650000000000002
C00290,2025-08-28,94,2025-11-30,2.0,11.0,355.34,32.0,31.0,2.0,88.81,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C01867,2025-04-24,115,2025-08-17,57.0,14.0,212.93,102.0,57.0,14.0,212.93,102.0,70.0,13.0,183.9,89.0,90.0,9.0,117.60000000000001,69.0,-2.8528333333333307,2.035714285714286,0.9833333333333334,0.9999999999999998,7.933333333333332,0.57,13.066666666666666,0.57,61.54,0.7267999999999999,1.354,2.138,3.28,4.351999999999999,5.444,6.38,7.348,8.681999999999999,13.882000000000005,28.78000000000001,45.15999999999998,58.263999999999996,4.0,8.625,4.0,23.0,4.0,4.0,4.0,4.4,5.0,5.0,6.0,7.4,8.799999999999999,10.8,15.299999999999997,19.149999999999995,22.229999999999997,2.0,7.888888888888889,4.0,23.0,2.16,2.8,3.6,4.0,4.4,5.0,5.0,6.6,8.2,10.200000000000001,14.200000000000003,18.599999999999994,22.119999999999997,0.0,4.0,0.0,8.0,0.08,0.4,0.8,1.6,2.4,3.2,4.0,4.8,5.6,6.4,7.2,7.6,7.92,0.0,25.0,0.0,69.0,0.32,1.6,3.2,7.0,10.6,14.0,18.0,25.2,34.199999999999996,41.800000000000004,50.6,59.79999999999999,67.16
C01554,2025-04-28,194,2025-11-08,1.0,17.0,1442.72,149.0,42.0,14.0,1156.25,108.0,64.0,11.0,1012.52,86.0,95.0,6.0,811.01,55.0,8.71971428571428,2.4000000000000012,0.6571428571428566,0.9999999999999998,10.657142857142855,21.48,135.16833333333332,21.48,255.07,25.607,42.114999999999995,62.75,104.02,107.495,110.97,116.125,121.28,159.735,198.19,226.63,240.85,252.226,1.0,11.0,12.0,25.0,1.16,1.8,2.6,4.2,6.3999999999999995,9.200000000000001,12.0,12.0,12.0,14.600000000000001,19.8,22.4,24.48,1.0,10.166666666666666,12.0,25.0,1.2,2.0,3.0,5.0,5.5,6.0,9.0,12.0,12.0,12.0,18.5,21.75,24.35,0.0,2.5,0.0,5.0,0.05,0.25,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,4.75,4.95,0.0,23.5,0.0,55.0,0.6000000000000001,3.0,6.0,12.0,12.5,13.0,15.5,18.0,30.5,43.0,49.0,52.0,54.400000000000006
C00604,2025-09-14,274,2026-06-15,2.0,16.0,572.16,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
